code,description
010410,Sheep: live
010420,Goats: live
020410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled"
020430,"Meat: of sheep, lamb carcasses and half-carcasses, frozen"
020441,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,"Meat: of sheep (including lamb), boneless cuts, frozen"
020450,"Meat: of goats, fresh, chilled or frozen"
020680,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen"
021090,"Meat and edible meat offal, preserved: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.s. in heading no. 0210"
040310,"Dairy produce: yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa"
040390,"Dairy produce: buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)"
050400,"Animal products: guts, bladders and stomachs of animals (other than fish), whole and pieces thereof"
120100,Soya beans: whether or not broken
120720,"Oil seeds: cotton seeds, whether or not broken"
120810,Flours and meals: of soya beans
120890,Flours and meals of oil seeds or oleaginous fruits: excluding soya beans and mustard seeds
140420,Vegetable products: cotton linters
150200,"Fats of bovine animals, sheep or goats: raw or rendered, whether or not pressed or solvent-extracted"
150510,"Animal fats and oils: wool grease, crude"
150590,Animal fats and oils: wool grease (other than crude) and fatty substances derived therefrom (including lanolin)
150710,"Vegetable oils: soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified"
150790,"Vegetable oils: soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified"
151221,"Vegetable oils: cotton-seed oil and its fractions: crude, whether or not gossypol has been removed, not chemically modified"
151229,"Vegetable oils: cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
151800,"Animal or vegetable fats and oils and their fractions: oxidised, boiled or otherwise chemically modified, (excluding those of heading no. 1516), inedible mixtures or preparations of fats or oils"
160100,"Meat preparations: sausages and similar products, of meat, meat offal or blood, and food preparations based on these products"
160290,"Meat preparations: of meat, meat offal or the blood of any animal, n.e.s. in heading no. 1602"
170410,"Sugar confectionery: chewing gum, whether or not sugar-coated, not containing cocoa"
170490,"Sugar confectionery: (excluding chewing gum, including white chocolate), not containing cocoa"
180100,"Cocoa beans: whole or broken, raw or roasted"
180200,"Cocoa: shells, husks, skins and other cocoa waste"
180310,"Cocoa: paste, not defatted"
180320,"Cocoa: paste, wholly or partly defatted"
180400,"Cocoa: butter, fat and oil"
180500,"Cocoa: powder, not containing added sugar or other sweetening matter"
180610,"Cocoa: powder, containing added sugar or other sweetening matter"
