chain,track,model,history_rows,history_positives,target_rows,target_positives,selected_C,selection_objective,headline_metric,headline_value,base_rate,average_precision,average_precision_ci95_low,average_precision_ci95_high,roc_auc,realized_value_metric,reporting_budget_k,realized_value,budgets_json,macro_recall_at_1,micro_recall_at_1,macro_value_capture_at_1,micro_value_capture_at_1,macro_recall_at_3,micro_recall_at_3,macro_value_capture_at_3,micro_value_capture_at_3,macro_recall_at_5,micro_recall_at_5,macro_value_capture_at_5,micro_value_capture_at_5
sheep,track_a_destination_extension,size,11144,621,15153,552,,,average_precision,0.13592994670983438,0.03642843001385864,0.13592994670983438,0.0953265810906735,0.18342525680619243,0.7899394423054207,global_observed_late_value_capture_at_500,500,0.2499064420137482,"{""k_100"": {""effective_k"": 100, ""hits"": 23, ""observed_late_value_kusd"": 28332.0436, ""precision"": 0.23, ""recall"": 0.041666666666666664, ""requested_k"": 100, ""value_capture"": 0.08333704675606282}, ""k_1000"": {""effective_k"": 1000, ""hits"": 165, ""observed_late_value_kusd"": 138654.0626, ""precision"": 0.165, ""recall"": 0.29891304347826086, ""requested_k"": 1000, ""value_capture"": 0.40784280375081244}, ""k_500"": {""effective_k"": 500, ""hits"": 85, ""observed_late_value_kusd"": 84960.53659999999, ""precision"": 0.17, ""recall"": 0.1539855072463768, ""requested_k"": 500, ""value_capture"": 0.2499064420137482}}",,,,,,,,,,,,
sheep,track_a_destination_extension,gravity,11144,621,15153,552,,,average_precision,0.07703169516775323,0.03642843001385864,0.07703169516775323,0.06028984826471001,0.09964919148005795,0.7109525826601116,global_observed_late_value_capture_at_500,500,0.0893173530915272,"{""k_100"": {""effective_k"": 100, ""hits"": 16, ""observed_late_value_kusd"": 5350.0918, ""precision"": 0.16, ""recall"": 0.028985507246376812, ""requested_k"": 100, ""value_capture"": 0.015736981658669633}, ""k_1000"": {""effective_k"": 1000, ""hits"": 87, ""observed_late_value_kusd"": 57141.66559999999, ""precision"": 0.087, ""recall"": 0.15760869565217392, ""requested_k"": 1000, ""value_capture"": 0.16807886240251677}, ""k_500"": {""effective_k"": 500, ""hits"": 52, ""observed_late_value_kusd"": 30365.164599999996, ""precision"": 0.104, ""recall"": 0.09420289855072464, ""requested_k"": 500, ""value_capture"": 0.0893173530915272}}",,,,,,,,,,,,
sheep,track_a_destination_extension,historical_logistic_size_gravity,11144,621,15153,552,10.0,historical_group_cv_average_precision,average_precision,0.12664335451457143,0.03642843001385864,0.12664335451457143,0.09572594881074475,0.16632201361239346,0.7935342179263084,global_observed_late_value_capture_at_500,500,0.25511325691067294,"{""k_100"": {""effective_k"": 100, ""hits"": 18, ""observed_late_value_kusd"": 20420.130400000002, ""precision"": 0.18, ""recall"": 0.03260869565217391, ""requested_k"": 100, ""value_capture"": 0.06006461750290756}, ""k_1000"": {""effective_k"": 1000, ""hits"": 161, ""observed_late_value_kusd"": 135083.5902, ""precision"": 0.161, ""recall"": 0.2916666666666667, ""requested_k"": 1000, ""value_capture"": 0.3973404683195613}, ""k_500"": {""effective_k"": 500, ""hits"": 87, ""observed_late_value_kusd"": 86730.6942, ""precision"": 0.174, ""recall"": 0.15760869565217392, ""requested_k"": 500, ""value_capture"": 0.25511325691067294}}",,,,,,,,,,,,
sheep,track_b1_processed_export_stage_entry,upstream_capacity,119,19,134,20,,,average_precision,0.1747755731175697,0.14925373134328357,0.1747755731175697,0.09552675461998217,0.3361153103803863,0.5416666666666667,global_observed_late_value_capture_at_50,50,0.6126089360703371,"{""k_100"": {""effective_k"": 100, ""hits"": 16, ""observed_late_value_kusd"": 22745.3792, ""precision"": 0.16, ""recall"": 0.8, ""requested_k"": 100, ""value_capture"": 0.8776429267743375}, ""k_25"": {""effective_k"": 25, ""hits"": 3, ""observed_late_value_kusd"": 813.7370000000001, ""precision"": 0.12, ""recall"": 0.15, ""requested_k"": 25, ""value_capture"": 0.031398488283042966}, ""k_50"": {""effective_k"": 50, ""hits"": 8, ""observed_late_value_kusd"": 15876.642000000002, ""precision"": 0.16, ""recall"": 0.4, ""requested_k"": 50, ""value_capture"": 0.6126089360703371}}",,,,,,,,,,,,
sheep,track_b1_processed_export_stage_entry,historical_logistic_structural,119,19,134,20,1.0,historical_group_cv_average_precision,average_precision,0.14516138643617044,0.14925373134328357,0.14516138643617044,0.08498073410242607,0.2796122711359639,0.42587719298245613,global_observed_late_value_capture_at_50,50,0.07226853251149615,"{""k_100"": {""effective_k"": 100, ""hits"": 13, ""observed_late_value_kusd"": 3951.7698, ""precision"": 0.13, ""recall"": 0.65, ""requested_k"": 100, ""value_capture"": 0.15248120432348908}, ""k_25"": {""effective_k"": 25, ""hits"": 2, ""observed_late_value_kusd"": 812.004, ""precision"": 0.08, ""recall"": 0.1, ""requested_k"": 25, ""value_capture"": 0.03133161952791137}, ""k_50"": {""effective_k"": 50, ""hits"": 5, ""observed_late_value_kusd"": 1872.9430000000002, ""precision"": 0.1, ""recall"": 0.25, ""requested_k"": 50, ""value_capture"": 0.07226853251149615}}",,,,,,,,,,,,
sheep,track_b2_conditional_destination_ranking,processed_importer_demand,1257,44,1999,46,,,per_positive_entry_macro_recall_at_3,0.17222222222222222,,,,,,per_positive_entry_macro_value_capture_at_3,3,0.165868485650566,,0.01944444444444444,0.043478260869565216,0.015427301886854233,0.01575465684737519,0.17222222222222222,0.13043478260869565,0.165868485650566,0.04853451547517401,0.21666666666666665,0.1956521739130435,0.21822910116557162,0.10283588036794625
sheep,track_b2_conditional_destination_ranking,gravity,1257,44,1999,46,,,per_positive_entry_macro_recall_at_3,0.10555555555555556,,,,,,per_positive_entry_macro_value_capture_at_3,3,0.10361512750998451,,0.1,0.043478260869565216,0.1,0.02321716361740256,0.10555555555555556,0.08695652173913043,0.10361512750998451,0.05864612849509247,0.175,0.15217391304347827,0.16401874155141344,0.07332650194208011
sheep,track_b2_conditional_destination_ranking,historical_logistic_demand_gravity,1257,44,1999,46,0.01,historical_group_cv_per_positive_entry_macro_recall_at_3,per_positive_entry_macro_recall_at_3,0.12222222222222223,,,,,,per_positive_entry_macro_value_capture_at_3,3,0.11823441629464804,,0.1,0.043478260869565216,0.1,0.02321716361740256,0.12222222222222223,0.10869565217391304,0.11823441629464804,0.06648209706960202,0.23333333333333334,0.21739130434782608,0.22819153144328874,0.10795355880453764
cotton,track_a_destination_extension,size,100986,5080,108040,3084,,,average_precision,0.16792714538640993,0.028544983339503886,0.16792714538640993,0.14092774049623238,0.19104812910516203,0.8342094987713707,global_observed_late_value_capture_at_500,500,0.09182517116813863,"{""k_100"": {""effective_k"": 100, ""hits"": 53, ""observed_late_value_kusd"": 61061.34160000001, ""precision"": 0.53, ""recall"": 0.017185473411154346, ""requested_k"": 100, ""value_capture"": 0.03125767739594045}, ""k_1000"": {""effective_k"": 1000, ""hits"": 307, ""observed_late_value_kusd"": 268090.8518, ""precision"": 0.307, ""recall"": 0.09954604409857327, ""requested_k"": 1000, ""value_capture"": 0.13723736064075082}, ""k_500"": {""effective_k"": 500, ""hits"": 181, ""observed_late_value_kusd"": 179378.91139999998, ""precision"": 0.362, ""recall"": 0.05869001297016861, ""requested_k"": 500, ""value_capture"": 0.09182517116813863}}",,,,,,,,,,,,
cotton,track_a_destination_extension,gravity,100986,5080,108040,3084,,,average_precision,0.09238038823398025,0.028544983339503886,0.09238038823398025,0.07727247922200475,0.10884499529438667,0.7672915150065478,global_observed_late_value_capture_at_500,500,0.04688770340907691,"{""k_100"": {""effective_k"": 100, ""hits"": 26, ""observed_late_value_kusd"": 14527.4344, ""precision"": 0.26, ""recall"": 0.008430609597924773, ""requested_k"": 100, ""value_capture"": 0.007436683275656814}, ""k_1000"": {""effective_k"": 1000, ""hits"": 179, ""observed_late_value_kusd"": 138564.1566, ""precision"": 0.179, ""recall"": 0.058041504539559016, ""requested_k"": 1000, ""value_capture"": 0.07093184643757273}, ""k_500"": {""effective_k"": 500, ""hits"": 110, ""observed_late_value_kusd"": 91594.3318, ""precision"": 0.22, ""recall"": 0.035667963683527884, ""requested_k"": 500, ""value_capture"": 0.04688770340907691}}",,,,,,,,,,,,
