method,display_name,family,chain,task,seed_count,headline_metric,headline_mean,headline_population_sd,value_metric,value_capture_mean,value_capture_population_sd
motif,MOTIF,graph,sheep,A,5,average_precision,0.071723836240511,0.0,value_capture_at_500,0.06756798456061398,0.0
motif,MOTIF,graph,sheep,B1,5,average_precision,0.2909501641565821,0.0,value_capture_at_50,0.8143552886594897,0.0
motif,MOTIF,graph,sheep,B2,5,macro_recall_at_3,0.0027777777777777775,0.0,macro_value_capture_at_3,0.0007315562007558931,0.0
motif,MOTIF,graph,cotton,A,5,average_precision,0.03053617751591035,0.0,value_capture_at_500,0.0013118733012413009,0.0
motif,MOTIF,graph,cotton,B1,5,average_precision,0.16729419602346407,0.0,value_capture_at_50,0.03217889283483686,0.0
motif,MOTIF,graph,cotton,B2,5,macro_recall_at_3,0.02777777777777778,0.0,macro_value_capture_at_3,0.02777777777777778,0.0
motif,MOTIF,graph,aluminium,A,5,average_precision,0.09991063894170488,0.0,value_capture_at_500,0.013815185675692726,0.0
motif,MOTIF,graph,aluminium,B1,5,average_precision,0.31048202629882865,0.0,value_capture_at_50,0.6396312332012047,0.0
motif,MOTIF,graph,aluminium,B2,5,macro_recall_at_3,0.003256704980842912,0.0,macro_value_capture_at_3,0.005268123931744985,0.0
motif,MOTIF,graph,nickel,A,5,average_precision,0.11404979574849176,0.0,value_capture_at_500,0.014388054258712025,0.0
motif,MOTIF,graph,nickel,B1,5,average_precision,0.3205553670520401,0.0,value_capture_at_50,0.6982357150699856,0.0
motif,MOTIF,graph,nickel,B2,5,macro_recall_at_3,0.13614024864024862,0.0,macro_value_capture_at_3,0.141984984499797,0.0
motif,MOTIF,graph,cocoa,A,5,average_precision,0.05083095668486929,0.0,value_capture_at_500,0.007563268272820214,0.0
motif,MOTIF,graph,cocoa,B1,5,average_precision,0.5446305632681054,0.0,value_capture_at_50,0.6965258630951651,0.0
motif,MOTIF,graph,cocoa,B2,5,macro_recall_at_3,0.011904761904761904,0.0,macro_value_capture_at_3,0.008974400965670629,0.0
motif,MOTIF,graph,oilseed-soy,A,5,average_precision,0.046157665382701524,0.0,value_capture_at_500,0.025774016033911516,0.0
motif,MOTIF,graph,oilseed-soy,B1,5,average_precision,0.39787772430442997,0.0,value_capture_at_50,0.7442930290694791,0.0
motif,MOTIF,graph,oilseed-soy,B2,5,macro_recall_at_3,0.06633986928104575,0.0,macro_value_capture_at_3,0.06473509734715595,0.0
flock,Flock,graph,sheep,A,5,average_precision,0.09700805460472,0.0007242551689414885,value_capture_at_500,0.11140319569574123,0.005329060432038875
flock,Flock,graph,sheep,B1,5,average_precision,0.14041408321303173,0.003490167950561126,value_capture_at_50,0.18159112971956626,0.08255482052719879
flock,Flock,graph,sheep,B2,5,macro_recall_at_3,0.24333333333333332,0.04436103283928252,macro_value_capture_at_3,0.26256131033436725,0.04449185094479652
flock,Flock,graph,cotton,A,5,average_precision,0.0653703407836318,0.0005739351543788923,value_capture_at_500,0.0066983314826952745,0.0013222298356774258
flock,Flock,graph,cotton,B1,5,average_precision,0.11356386215090127,0.006413749917048585,value_capture_at_50,0.01455732808210294,0.0012235678456641095
flock,Flock,graph,cotton,B2,5,macro_recall_at_3,0.21203703703703702,0.07023622692041807,macro_value_capture_at_3,0.21562918452593935,0.06914589395979262
flock,Flock,graph,aluminium,A,5,average_precision,0.11872156265892111,0.0005479297473503696,value_capture_at_500,0.0022537746369560383,0.0004754171887292791
flock,Flock,graph,aluminium,B1,5,average_precision,0.14739364035765345,0.0018748825457807542,value_capture_at_50,0.01802324033504471,0.008081985229929924
flock,Flock,graph,aluminium,B2,5,macro_recall_at_3,0.17512718177948064,0.018317684692900047,macro_value_capture_at_3,0.18099487504737297,0.01893162731518647
flock,Flock,graph,nickel,A,5,average_precision,0.14025035075371411,0.0005284298442846908,value_capture_at_500,0.1515509291987136,0.0007244537271461849
flock,Flock,graph,nickel,B1,5,average_precision,0.1502730949763692,0.00318044728511408,value_capture_at_50,0.12951921559205595,0.24660180128831038
flock,Flock,graph,nickel,B2,5,macro_recall_at_3,0.25129564879564875,0.025390707789199694,macro_value_capture_at_3,0.27518987022903263,0.03147225654046669
flock,Flock,graph,cocoa,A,5,average_precision,0.13129091225827955,0.00045933875020501107,value_capture_at_500,0.016951124522931606,0.0033141772059819175
flock,Flock,graph,cocoa,B1,5,average_precision,0.09445865974253405,0.0010259097914778765,value_capture_at_50,0.023760766581955813,0.001868424195169878
flock,Flock,graph,cocoa,B2,5,macro_recall_at_3,0.22984126984126982,0.01986728453284433,macro_value_capture_at_3,0.22932285495315066,0.02452148792265824
flock,Flock,graph,oilseed-soy,A,5,average_precision,0.10682644952355276,0.00035727975567098066,value_capture_at_500,0.05354634804348572,0.0021318615539556614
flock,Flock,graph,oilseed-soy,B1,5,average_precision,0.3423001585171676,0.012403785189962708,value_capture_at_50,0.7212760335761487,0.07758952455247764
flock,Flock,graph,oilseed-soy,B2,5,macro_recall_at_3,0.09746732026143791,0.02413437965704151,macro_value_capture_at_3,0.10339150523598306,0.025104038721493943
tabm,TabM,tabular,sheep,A,5,average_precision,0.14304906668031175,0.0006200983751327543,value_capture_at_500,0.2688708635671817,0.002522451156607832
tabm,TabM,tabular,sheep,B1,5,average_precision,0.17298515590646196,0.0016547816345939077,value_capture_at_50,0.07510032435474892,0.0023121483579149225
tabm,TabM,tabular,sheep,B2,5,macro_recall_at_3,0.1833333333333333,0.010686324478706296,macro_value_capture_at_3,0.17607941155130458,0.008510138490539528
tabm,TabM,tabular,cotton,A,5,average_precision,0.16974331127030257,0.00269064620670168,value_capture_at_500,0.0782897354367873,0.004141234575371892
tabm,TabM,tabular,cotton,B1,5,average_precision,0.1336779647658486,0.0018088219998921057,value_capture_at_50,0.03109128485668215,0.0009163225026748628
tabm,TabM,tabular,cotton,B2,5,macro_recall_at_3,0.2611111111111111,0.01360827634879544,macro_value_capture_at_3,0.25903462275024863,0.013608276348795426
tabm,TabM,tabular,aluminium,A,5,average_precision,0.18656387565838184,0.0005805934931703862,value_capture_at_500,0.12664462927817435,0.019446474255703772
tabm,TabM,tabular,aluminium,B1,5,average_precision,0.39921728584223765,0.016341036056787425,value_capture_at_50,0.1067893176511441,0.008840741528001073
tabm,TabM,tabular,aluminium,B2,5,macro_recall_at_3,0.17537090251170712,0.03237213689136972,macro_value_capture_at_3,0.1752272276081021,0.0333979021171958
tabm,TabM,tabular,nickel,A,5,average_precision,0.2010680160833173,0.0014710800248450343,value_capture_at_500,0.48300449335601653,0.027593072420109964
tabm,TabM,tabular,nickel,B1,5,average_precision,0.36385446233365126,0.003601323930955682,value_capture_at_50,0.6265094545816955,0.2971951507680598
tabm,TabM,tabular,nickel,B2,5,macro_recall_at_3,0.24841686091686094,0.013923281567767898,macro_value_capture_at_3,0.28090601778154534,0.011566832800046582
tabm,TabM,tabular,cocoa,A,5,average_precision,0.20815760816854686,0.0017059115897614888,value_capture_at_500,0.169188817417315,0.00717649729292516
tabm,TabM,tabular,cocoa,B1,5,average_precision,0.5460601129925382,0.013651208514697892,value_capture_at_50,0.5679885854470015,0.0012481370731413238
tabm,TabM,tabular,cocoa,B2,5,macro_recall_at_3,0.3579365079365079,0.009523809523809535,macro_value_capture_at_3,0.3414278007654951,0.00879253020991074
tabm,TabM,tabular,oilseed-soy,A,5,average_precision,0.10327129195043253,0.0007643416299661891,value_capture_at_500,0.24716357631068814,0.021987829556323255
tabm,TabM,tabular,oilseed-soy,B1,5,average_precision,0.6272528720796263,0.013961121066467895,value_capture_at_50,0.9865374283343937,0.0009372042368575325
tabm,TabM,tabular,oilseed-soy,B2,5,macro_recall_at_3,0.10400326797385621,0.01372549019607843,macro_value_capture_at_3,0.10674156340284975,0.014320693086498049
xrfm,xRFM,tabular,sheep,A,5,average_precision,0.06581493646109368,0.0,value_capture_at_500,0.1268277195620731,0.0
xrfm,xRFM,tabular,sheep,B1,5,average_precision,0.1978373820042256,0.0,value_capture_at_50,0.6306539075885689,0.0
xrfm,xRFM,tabular,sheep,B2,5,macro_recall_at_3,0.0027777777777777775,0.0,macro_value_capture_at_3,0.0069089344482095305,0.0
xrfm,xRFM,tabular,cotton,A,5,average_precision,0.08311786993680884,0.0010905135735098418,value_capture_at_500,0.0398020697191568,0.005371642214136782
xrfm,xRFM,tabular,cotton,B1,5,average_precision,0.11445046614834711,0.0,value_capture_at_50,0.8163703336101282,0.0
