chain,track,model,history_rows,history_positives,target_rows,target_positives,target_entry_groups,selected_config_id,selected_grid_index,historical_cv_objective,n_splits,headline_metric,headline,headline_ci95_low,headline_ci95_high,value_metric,value_capture,value_ci95_low,value_ci95_high
sheep,a,historical_gbdt_same_features,11144,621,15153,552,,leaf7_iter100,1,0.16088815677866586,5,average_precision,0.1322411723768719,0.10454915381505425,0.17027922734152598,global_observed_late_value_capture_at_500,0.23792937080145896,,
sheep,b1,historical_gbdt_same_features,119,19,134,20,,leaf7_iter200,2,0.27999986051959735,5,average_precision,0.12970970802033513,0.08565492117692824,0.20896668834752674,global_observed_late_value_capture_at_50,0.06236826025649789,,
sheep,b2,historical_gbdt_same_features,1257,44,1999,46,20,leaf15_iter200,3,0.1643692564745196,5,per_positive_entry_macro_recall_at_3,0.05,0.0,0.15,per_positive_entry_macro_value_capture_at_3,0.05,0.0,0.15
cotton,a,historical_gbdt_same_features,100986,5080,108040,3084,,leaf7_iter200,2,0.23605428812187546,5,average_precision,0.16903847872036684,0.14525769961145446,0.19663937521662944,global_observed_late_value_capture_at_500,0.08190128447935933,,
cotton,b1,historical_gbdt_same_features,309,66,320,36,,leaf3_iter100,0,0.4995565336135971,5,average_precision,0.12210546995955598,0.08271420223994257,0.1929311208949419,global_observed_late_value_capture_at_50,0.8110734918028355,,
cotton,b2,historical_gbdt_same_features,9861,113,5549,44,36,leaf7_iter200,2,0.19797979797979798,5,per_positive_entry_macro_recall_at_3,0.18055555555555555,0.08298611111111111,0.3055555555555556,per_positive_entry_macro_value_capture_at_3,0.18013544788341995,0.08215639845864335,0.3055555555555556
aluminium,a,historical_gbdt_same_features,57401,4666,81212,3487,,leaf7_iter100,1,0.2621604790379323,5,average_precision,0.18300870167893882,0.16327213574428295,0.21285896648740635,global_observed_late_value_capture_at_500,0.08570401194022245,,
aluminium,b1,historical_gbdt_same_features,362,81,358,72,,leaf3_iter100,0,0.3900219188438698,5,average_precision,0.3224665736078434,0.23593952542062174,0.45196658370523923,global_observed_late_value_capture_at_50,0.12034614145386355,,
aluminium,b2,historical_gbdt_same_features,10313,214,10561,181,72,leaf7_iter100,1,0.21889274916650123,5,per_positive_entry_macro_recall_at_3,0.19038686675180927,0.11528842060451257,0.2717349803107706,per_positive_entry_macro_value_capture_at_3,0.1875194899794978,0.11339209643000828,0.2740175675245865
nickel,a,historical_gbdt_same_features,12922,1616,24645,1564,,leaf7_iter100,1,0.31282937191547133,5,average_precision,0.19903528924050834,0.17488304906055413,0.22862252037566408,global_observed_late_value_capture_at_500,0.5347832687235596,,
nickel,b1,historical_gbdt_same_features,242,48,343,66,,leaf15_iter200,3,0.4053758653549998,5,average_precision,0.3468545269592995,0.23406254613977345,0.481915581691675,global_observed_late_value_capture_at_50,0.888008643987808,,
nickel,b2,historical_gbdt_same_features,2634,95,4693,139,66,leaf3_iter100,0,0.18645833333333336,5,per_positive_entry_macro_recall_at_3,0.24967948717948715,0.16445391414141414,0.3466540404040405,per_positive_entry_macro_value_capture_at_3,0.27994936859766545,0.18455993749778496,0.3826551444696409
cocoa,a,historical_gbdt_same_features,30403,2594,54026,2552,,leaf7_iter200,2,0.27646222124496417,5,average_precision,0.20421826867000312,0.1797286946096994,0.24296228190738234,global_observed_late_value_capture_at_500,0.1560860562170284,,
cocoa,b1,historical_gbdt_same_features,260,46,277,42,,leaf3_iter100,0,0.3044301451967873,5,average_precision,0.2780387753140565,0.1726305527973687,0.4209613671407949,global_observed_late_value_capture_at_50,0.12028917647356226,,
cocoa,b2,historical_gbdt_same_features,4690,104,5855,72,42,leaf7_iter100,1,0.13209109730848861,5,per_positive_entry_macro_recall_at_3,0.1376984126984127,0.06299603174603174,0.2250297619047619,per_positive_entry_macro_value_capture_at_3,0.13883012072634862,0.05617476333883331,0.22396110685741508
oilseed-soy,a,historical_gbdt_same_features,25320,1050,34548,1034,,leaf3_iter100,0,0.1407647279571915,5,average_precision,0.08495815759387984,0.06069379613884148,0.11291101657204526,global_observed_late_value_capture_at_500,0.14470358345879025,,
oilseed-soy,b1,historical_gbdt_same_features,100,38,86,34,,leaf7_iter100,1,0.643818365321019,5,average_precision,0.5991956284361372,0.43814656697348975,0.7717699240678341,global_observed_late_value_capture_at_50,0.9868710035118815,,
oilseed-soy,b2,historical_gbdt_same_features,4967,69,4776,74,34,leaf7_iter100,1,0.1559011164274322,5,per_positive_entry_macro_recall_at_3,0.05065359477124183,0.0,0.12438725490196083,per_positive_entry_macro_value_capture_at_3,0.0473292457376318,0.0,0.12395169558913735
