scope,metric,chain,mode,definition,n,mean,population_std,source_summary_sha256,verification_receipt_sha256,freeze_sha256,config_sha256,main_start_marker_sha256,run_id,protocol
mode,A.lane_average_precision,__all__,loco,,30,0.099748449263056274,0.027704968877582888,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
mode,A.lane_average_precision,__all__,in_domain,,30,0.13286713513184789,0.020175893523344944,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,sheep,loco,,5,0.085757631804754861,0.0093182115232216776,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,sheep,in_domain,,5,0.11670001884595753,0.0038203606218855479,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,cotton,loco,,5,0.063737253559767018,0.015742541219839989,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,cotton,in_domain,,5,0.11312638708966183,0.0092950646378974489,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,aluminium,loco,,5,0.10064017434471213,0.010158292250929025,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,aluminium,in_domain,,5,0.15233240655397559,0.01094932878825261,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,nickel,loco,,5,0.14485233941643932,0.020163291371265719,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
chain_mode,A.lane_average_precision,nickel,in_domain,,5,0.16208597290723881,0.0040935525490901044,c98f7aeb57adbe94543854ceb878eadb8990b07dc38ce154c1bc70c131284164,139be54b3375cf21728b668ee00b7b0f439897fe29a54c169fde098d87c15c3a,a9414c9762ff7faf23fa855b6f1305c777359e6c74bd9ef17a94ebbc5f37d187,e8ed359ce8144f152f1577c31edb5ab3c2f7027015a16881302c28f39f4b67f6,e574210de335ea185b6de0803243febb7f8c9d78f21da7d6230e3a60a01d235b,loco-tier-matched-oa-full-20260717-r2,upgrade-bench-v2/loco-tier-matched/1
