cohort,chain,model,early_window,late_window,n,positives,exporters,average_precision,average_precision_ci95_low,average_precision_ci95_high,roc_auc,value_budget,value_hits,value_capture,observed_late_value_kusd,total_observed_late_value_kusd,exporter_dictionary_coverage,candidates_with_target_hs6_rca,candidate_target_hs6_rca_memberships,zero_score_rows,unique_scores
historical,sheep,prospective_product_space_density,1998-2002,2008-2012,119,19,64,0.34072556591570813,0.18186369263986038,0.564245014575211,0.6799999999999999,50,10,0.560475747715477,21087.8814,37624.966799999995,1.0,5,5,0,119
historical,cotton,prospective_product_space_density,1998-2002,2008-2012,309,66,100,0.33691893275536544,0.2645527223621545,0.4417195416388619,0.6602444195036787,50,17,0.3910139671314234,33725.417,86251.18239999999,1.0,58,127,0,309
historical,aluminium,prospective_product_space_density,1998-2002,2008-2012,362,81,99,0.3852159022673044,0.3169394954426899,0.4893716531812536,0.672641799569439,50,20,0.02516657295553237,19506.879200000003,775110.669,1.0,15,15,0,362
historical,nickel,prospective_product_space_density,1998-2002,2008-2012,242,48,52,0.4083809076902871,0.3040370239245992,0.5979864735113403,0.748926116838488,50,25,0.6634183950243743,623524.6638,939866.4077999999,1.0,12,12,0,242
historical,cocoa,prospective_product_space_density,1998-2002,2008-2012,260,46,64,0.44373260085205785,0.306223860355445,0.6353779007045942,0.7993701747257212,50,24,0.4221997273286909,24640.5398,58362.2826,1.0,11,11,0,260
historical,oilseed-soy,prospective_product_space_density,1998-2002,2008-2012,100,38,51,0.5286377946528029,0.3976161729580972,0.6605127399656119,0.666383701188455,50,25,0.43466817906848165,48892.926400000004,112483.33499999999,1.0,5,5,0,100
main,sheep,prospective_product_space_density,2008-2012,2018-2022,134,20,74,0.24247924069518917,0.10882949771813305,0.4621659440592599,0.5780701754385965,50,11,0.6612598178419483,17137.499600000003,25916.4388,1.0,4,4,0,134
main,cotton,prospective_product_space_density,2008-2012,2018-2022,320,36,107,0.3328425810435813,0.22407229105599785,0.47661282543704464,0.7280907668231613,50,15,0.0973124991133932,4607.106400000001,47343.41879999998,1.0,31,80,0,320
main,aluminium,prospective_product_space_density,2008-2012,2018-2022,358,72,107,0.3392874349457532,0.22962666231616669,0.4639309154361062,0.6426282051282052,50,22,0.61784573753983,505587.9798,818307.7896,1.0,6,6,0,358
main,nickel,prospective_product_space_density,2008-2012,2018-2022,343,66,74,0.462045528801577,0.3348813085891669,0.5835708926125541,0.7509572256864675,50,26,0.26512869979927023,136944.16000000003,516519.56240000005,1.0,1,1,0,343
main,cocoa,prospective_product_space_density,2008-2012,2018-2022,277,42,74,0.304362966454102,0.18046931263370594,0.44593399454805593,0.6480243161094225,50,15,0.48276255537631557,20472.1332,42406.216,1.0,15,16,0,277
main,oilseed-soy,prospective_product_space_density,2008-2012,2018-2022,86,34,51,0.6360194426897003,0.49338804881718745,0.7869049759054145,0.6600678733031674,50,24,0.62263609809003,107702.55780000001,172978.3386,1.0,1,1,0,86
