chain,sensitivity,slice,track,model,status,n,positives,clusters_or_entry_groups,primary_metric,primary_value,ci95_low,ci95_high,cluster_unit
sheep,identity,exporter_seen,A,size,complete,12880,518,57,average_precision,0.1416744530853847,0.10098851675359458,0.18590469615282953,exporter
sheep,identity,exporter_seen,A,gravity,complete,12880,518,57,average_precision,0.08052457892440745,0.061238670481456266,0.10618691362568192,exporter
sheep,identity,exporter_seen,A,historical_logistic_size_gravity,complete,12880,518,57,average_precision,0.13204752107080522,0.09791710716347979,0.16780860348722393,exporter
sheep,identity,exporter_seen,B1,upstream_capacity,complete,88,11,49,average_precision,0.1592453755923744,0.05840421168467387,0.3445163555614904,exporter
sheep,identity,exporter_seen,B1,historical_logistic_structural,complete,88,11,49,average_precision,0.14756690578791562,0.0559481124153881,0.34279331844717503,exporter
sheep,identity,exporter_seen,B2,processed_importer_demand,complete,1063,31,11,macro_recall_at_3,0.10101010101010101,0.0,0.2828282828282828,exporter_stage_entry
sheep,identity,exporter_seen,B2,gravity,complete,1063,31,11,macro_recall_at_3,0.10101010101010101,0.0,0.29292929292929293,exporter_stage_entry
sheep,identity,exporter_seen,B2,historical_logistic_demand_gravity,complete,1063,31,11,macro_recall_at_3,0.10101010101010101,0.0,0.2828282828282828,exporter_stage_entry
sheep,identity,exporter_unseen,A,size,complete,2273,34,18,average_precision,0.06417157258797329,0.021391007033410327,0.21495761063630459,exporter
sheep,identity,exporter_unseen,A,gravity,complete,2273,34,18,average_precision,0.03605192817847366,0.018724332062084327,0.06663568904743904,exporter
sheep,identity,exporter_unseen,A,historical_logistic_size_gravity,complete,2273,34,18,average_precision,0.06115517857064108,0.020342462114180553,0.1926900924382352,exporter
sheep,identity,exporter_unseen,B1,upstream_capacity,complete,46,9,25,average_precision,0.3917650457373243,0.2253635572051787,0.6879515796703298,exporter
sheep,identity,exporter_unseen,B1,historical_logistic_structural,complete,46,9,25,average_precision,0.1859078410970274,0.09651889697335257,0.4210825188959562,exporter
sheep,identity,exporter_unseen,B2,processed_importer_demand,complete,936,15,9,macro_recall_at_3,0.25925925925925924,0.037037037037037035,0.5925925925925926,exporter_stage_entry
sheep,identity,exporter_unseen,B2,gravity,complete,936,15,9,macro_recall_at_3,0.1111111111111111,0.0,0.33611111111111175,exporter_stage_entry
sheep,identity,exporter_unseen,B2,historical_logistic_demand_gravity,complete,936,15,9,macro_recall_at_3,0.14814814814814814,0.0,0.40740740740740744,exporter_stage_entry
sheep,identity,importer_seen,A,size,complete,12685,530,75,average_precision,0.1389767348936248,0.10010383624651295,0.1874756444972837,exporter
sheep,identity,importer_seen,A,gravity,complete,12685,530,75,average_precision,0.07980229678469156,0.06208891658413002,0.10956399723555257,exporter
