section,aggregation_scope,chain,task,family,seed,method,budget_scope,b1_budget,b2_budget,requested_k,metric,point,lower_95,upper_95,std,n,cluster_unit,bootstrap_seed,note
paired_family_difference,chain_seed,sheep,a,,0,,,,,,lane_average_precision,0.03772729932205378,0.009755789135014403,0.06777006321708363,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,a,,1,,,,,,lane_average_precision,0.051953691036491154,0.022690930835475496,0.08869651650858892,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,a,,2,,,,,,lane_average_precision,0.04011120438582785,0.02260838786456215,0.06680760244449435,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,a,,3,,,,,,lane_average_precision,0.06694706999782774,0.03704126881722779,0.10108186230050245,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,a,,4,,,,,,lane_average_precision,0.048580257735612115,0.016932956425041234,0.08004862022735003,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_fixed_five_seed_mean,sheep,a,,mean_0_4,,,,,,lane_average_precision,0.04906390449556253,0.02789006305871793,0.07142384658773848,,500,exporter,2288523331174046634,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b1,,0,,,,,,entry_average_precision_official_raw_max,0.24252567431664598,0.05876602001313544,0.3732218136726519,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b1,,1,,,,,,entry_average_precision_official_raw_max,0.24734605657103542,0.0660710911799298,0.43373343418025484,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b1,,2,,,,,,entry_average_precision_official_raw_max,0.19654171629474165,0.07615511514923318,0.4008561541379331,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b1,,3,,,,,,entry_average_precision_official_raw_max,0.10626222979596825,0.001112237444178682,0.2794440374549219,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b1,,4,,,,,,entry_average_precision_official_raw_max,0.2803621089828682,0.1136161848045842,0.45714187603639944,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_fixed_five_seed_mean,sheep,b1,,mean_0_4,,,,,,entry_average_precision_official_raw_max,0.21460755719225189,0.09849957926235693,0.3522100385875575,,500,exporter,1500798379975155845,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b2,,0,,,,,,positive_entry_macro_recall_at_3,-0.43333333333333335,-0.6333333333333333,-0.225,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b2,,1,,,,,,positive_entry_macro_recall_at_3,-0.3972222222222222,-0.6029166666666665,-0.2152083333333334,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b2,,2,,,,,,positive_entry_macro_recall_at_3,-0.3111111111111111,-0.5083333333333333,-0.1374305555555556,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b2,,3,,,,,,positive_entry_macro_recall_at_3,-0.29999999999999993,-0.4543749999999999,-0.13333333333333333,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_seed,sheep,b2,,4,,,,,,positive_entry_macro_recall_at_3,-0.39722222222222214,-0.6210416666666665,-0.18861111111111134,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_fixed_five_seed_mean,sheep,b2,,mean_0_4,,,,,,positive_entry_macro_recall_at_3,-0.3677777777777777,-0.5030972222222222,-0.23716666666666672,,500,exporter_stage,4533631029717349469,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,a,,0,,,,,,lane_average_precision,-0.018053586394294635,-0.035429570694931634,-0.0015635616218080363,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,a,,1,,,,,,lane_average_precision,-0.0407532489412933,-0.05277694345525293,-0.028967249188050367,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,a,,2,,,,,,lane_average_precision,-0.045233598219404536,-0.06046454306662395,-0.029611529449033863,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,a,,3,,,,,,lane_average_precision,-0.03543456612029977,-0.05005064899859306,-0.01998695603615662,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,a,,4,,,,,,lane_average_precision,-0.003798070617140617,-0.017564482389316443,0.00999686638653135,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_fixed_five_seed_mean,cotton,a,,mean_0_4,,,,,,lane_average_precision,-0.02865461405848657,-0.04134628204921472,-0.016258909473208728,,500,exporter,4849594322461767224,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,b1,,0,,,,,,entry_average_precision_official_raw_max,0.024141561164733538,-0.10862078739366655,0.17141220778627303,,500,exporter,6778949558099913595,kge_minus_nbfnet
paired_family_difference,chain_seed,cotton,b1,,1,,,,,,entry_average_precision_official_raw_max,-0.0664818294490796,-0.19646628502022653,0.06754718907299241,,500,exporter,6778949558099913595,kge_minus_nbfnet
