cohort,chain,i_iso,stage,entry_id,density,z,entry_lateval,early_window,late_window,candidate_source_sha256,config_sha256,freeze_sha256
historical,sheep,ARE,exp_woolgrease,ARE|exp_woolgrease,0.06629761035735213,1,127.9086,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,ARE,exp_woolyarn,ARE|exp_woolyarn,0.0794768182714768,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,AUT,exp_woolgrease,AUT|exp_woolgrease,0.2776585000847025,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BFA,exp_meat,BFA|exp_meat,0.08670034925978495,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BGR,exp_woolgrease,BGR|exp_woolgrease,0.18170915436370103,1,110.0756,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BLR,exp_woolgrease,BLR|exp_woolgrease,0.14381831375371248,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BLR,exp_wooltop,BLR|exp_wooltop,0.19456353503900398,1,4029.637,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BOL,exp_woolgrease,BOL|exp_woolgrease,0.04214476668420554,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BOL,exp_woolyarn,BOL|exp_woolyarn,0.05351128529309565,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,BRA,exp_woolgrease,BRA|exp_woolgrease,0.14642511039490655,1,2961.1258000000003,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
historical,sheep,CAN,exp_woolgrease,CAN|exp_woolgrease,0.1658626152594332,0,0.0,1998-2002,2008-2012,ee9bd4b03de3358a4b7747c65724cbb67e9b345c7a0bd93d96f868168385ddd6,9704b972d3c33904afcb818f87ccd461d988fd30910e9788031d4176df032cd0,3f504e0bc00e47e2d3674e97ef03bed09c060383c94ac723bd7c7c9e56fa4a85
